sno,Player_Name,First_Match,Last_Match,Matches_Played,Innings,NotOuts,Runs,Highest_Score,Average,Balls_Bowled,Maiden_Overs,Runs_Given,Wickets,Average,Catches,Stumped
240,Chetan Sakariya,2021,2021,1,1,0,0,0,,48,0,34,2,17,2,0
241,Sanju Samson,2021,2023,16,14,5,510,108,56.66,,,,,,9,2
242,Venkatesh Iyer,2022,2022,2,2,0,24,22,12,30,0,28,0,,0,0
243,Deepak Hooda,2022,2022,10,7,1,153,33,25.5,150,1,119,3,39.66,3,0
244,Avesh Khan,2022,2023,8,4,1,23,10,7.66,356,5,329,9,36.55,3,0
245,Ruturaj Gaikwad,2022,2023,6,6,0,115,71,19.16,,,,,,1,0
246,Ravi Bishnoi,2022,2022,1,1,1,4,4,,48,0,69,1,69,0,0
247,Shahbaz Ahmed,2022,2022,3,0,0,0,0,0,156,0,125,3,41.66,1,0
248,Arshdeep Singh,2022,2023,6,3,1,34,18,17,124,2,184,10,18.4,0,0
249,Umran Malik,2022,2023,10,4,3,2,2,2,366,2,399,13,30.69,2,0
250,Kuldeep Sen,2022,2022,1,1,1,2,2,,30,0,37,2,18.5,0,0
251,Mukesh Kumar,2023,2023,6,12,1,10,6,10,234,4,217,5,43.4,1,0
252,Tilak Varma,2023,2023,4,4,1,68,52,22.66,42,0,39,0,,1,0
253,Sai Sudharshan,2023,2023,3,3,1,127,62,63.5,3,0,8,0,,1,0
254,Rinku Singh,2023,2023,2,2,0,55,38,27.5,6,0,2,1,2,1,0
255,Rajat Patidar,2023,2023,1,1,0,22,22,22,,,,,,0,0
